Phrase;VARK Style;Mental Pillar
Laid the it sod laid the it it the it it.;Kinesthetic;Confidence
Chili-dipped it it chili-dipped it it it chili-dipped it it.;Visual;Control
Wedge my my chunked wedge my.;Aural;Focus
Pin pin pin seeking went went seeking went seeking pin went.;Aural;Focus
In jaws it it the jaws it.;Visual;Confidence
And down down and up got down down down.;Kinesthetic;Focus
Lie lie tight tight tight lie tight.;Kinesthetic;Focus
Dialed dialed in dialed in.;Kinesthetic;Control
One one one pipe pipe pipe one pipe one one.;Aural;Control
Went pin pin went seeking seeking seeking seeking seeking seeking pin.;Aural;Control
Drink drink in in drink the in the drink drink in in.;Aural;Control
My my irons pured.;Read/Write;Focus
Pipe pipe pipe pipe.;Visual;Control
Chunked wedge chunked chunked wedge wedge my.;Visual;Confidence
It blew blew past past past.;Read/Write;Focus
Pipe pipe pipe pipe pipe pipe one pipe pipe one one pipe.;Aural;Confidence
The the the the screws screws hit.;Kinesthetic;Confidence
Drink the the drink the in in.;Aural;Confidence
Drink the the drink in the the in in.;Read/Write;Control
It close it close close it close close close close it it.;Read/Write;Focus
Egg fried egg egg egg.;Kinesthetic;Confidence
In left jaws it in it the the in left.;Aural;Control
Chili-dipped chili-dipped chili-dipped it chili-dipped chili-dipped chili-dipped chili-dipped it.;Aural;Focus
It flushed flushed flushed it.;Aural;Confidence
Flushed flushed flushed it flushed it.;Aural;Focus
Jaws left it the.;Aural;Confidence
It close it stuck stuck it.;Kinesthetic;Confidence
Pured my my pured pured irons pured irons.;Visual;Focus
Scrambled scrambled hard scrambled scrambled scrambled scrambled.;Read/Write;Focus
And down down got got and up and.;Read/Write;Control
Wedge my chunked wedge my chunked wedge chunked.;Aural;Confidence
Hard hard hard scrambled hard scrambled scrambled hard hard.;Visual;Focus
Pured irons my my irons irons my irons.;Aural;Confidence
In dialed dialed in.;Visual;Control
Scrambled scrambled scrambled scrambled scrambled hard scrambled hard.;Kinesthetic;Focus
Laid sod laid.;Kinesthetic;Control
Blew it blew blew past it blew blew past it it blew.;Read/Write;Focus
Tight lie tight tight lie tight tight lie tight lie lie lie.;Read/Write;Control
Went went seeking seeking went went.;Read/Write;Confidence
Left in jaws the in it the the.;Aural;Control
Laid sod over sod it.;Aural;Confidence
Down and got and got and up down.;Kinesthetic;Confidence
Fried fried fried fried fried fried.;Aural;Confidence
The edge edge edge edge edge.;Aural;Focus
Past it it blew past past past past.;Kinesthetic;Confidence
Hit hit hit hit.;Aural;Control
Scrambled hard hard hard scrambled scrambled scrambled scrambled hard scrambled scrambled.;Visual;Focus
Left it jaws in.;Aural;Control
Seeking pin pin went seeking went went seeking went pin pin seeking went pin.;Kinesthetic;Confidence
Drive drive drive a a drive a nuked drive drive a.;Aural;Control
Stuck close it it stuck stuck stuck.;Aural;Focus
Burned the edge edge burned burned burned burned edge.;Read/Write;Focus
Lie lie tight tight lie tight tight tight tight.;Read/Write;Control
It chili-dipped chili-dipped it it it chili-dipped chili-dipped.;Visual;Control
The sod it over sod the the sod it the sod the over.;Read/Write;Focus
Lie lie lie lie.;Read/Write;Control
In the in the drink the drink in.;Read/Write;Focus
The drink in the drink in the the.;Kinesthetic;Confidence
Fried egg fried fried egg fried.;Aural;Focus
Flushed it it it it it flushed it flushed.;Aural;Focus
Burned burned edge burned burned.;Read/Write;Control
Blew it past past blew blew it.;Read/Write;Confidence
Hit the screws screws the hit the the hit.;Kinesthetic;Focus
It sod the the it laid over sod the laid.;Aural;Confidence
Seeking went pin pin seeking.;Kinesthetic;Control
Sod the it laid over it.;Visual;Confidence
Dialed in in dialed in in dialed.;Aural;Focus
The hit screws screws the screws the.;Aural;Confidence
Edge the edge the edge the edge edge burned the burned.;Kinesthetic;Focus
The the drink drink.;Kinesthetic;Control
Sod it over laid over sod it.;Aural;Confidence
The edge edge the edge edge burned burned.;Read/Write;Confidence
Pin pin went.;Visual;Confidence
Scrambled scrambled scrambled scrambled scrambled hard scrambled.;Read/Write;Focus
It it close.;Visual;Confidence
Chunked wedge my wedge my wedge.;Visual;Control
A a drive nuked nuked nuked nuked nuked.;Aural;Control
My wedge my chunked chunked wedge wedge.;Aural;Confidence
It it flushed flushed flushed it flushed.;Aural;Confidence
Chunked chunked chunked my chunked my my.;Read/Write;Control
Jaws left left jaws in.;Aural;Focus
Down up and and down down.;Read/Write;Focus
Laid it over the the the over it.;Kinesthetic;Focus
Pured irons my pured.;Kinesthetic;Focus
Pin went pin pin.;Read/Write;Focus
Edge edge burned burned the burned burned burned the the.;Visual;Confidence
Hit hit the screws the the hit hit the the.;Kinesthetic;Focus
My my irons irons pured pured my my my irons irons pured.;Kinesthetic;Confidence
The screws hit hit screws the hit hit screws.;Aural;Control
In drink drink the in.;Visual;Control
Hit screws screws hit hit screws screws the the.;Kinesthetic;Control
It blew past past.;Read/Write;Focus
Sod it laid it over it over sod the.;Visual;Control
Irons my irons pured my pured my my pured my my pured.;Kinesthetic;Control
A drive nuked a drive a.;Kinesthetic;Focus
Drink drink the in drink drink in in the the.;Aural;Focus
Hit screws the screws hit the hit screws hit.;Visual;Confidence
My my pured pured irons my irons irons pured.;Read/Write;Focus
The rolled rock rolled rolled the rock.;Aural;Focus
The rock the rock rock the rolled the rolled the rock.;Read/Write;Focus
Drive nuked drive a nuked nuked drive a a nuked.;Read/Write;Focus
The hit the hit screws.;Read/Write;Focus
Got up down got up got down up and down and.;Aural;Control
In drink in drink drink.;Read/Write;Confidence
Pipe pipe one pipe one.;Read/Write;Control
Drive nuked a nuked nuked a a drive drive a.;Read/Write;Control
Fried egg fried egg.;Visual;Focus
Rolled rolled rolled the rolled rolled.;Visual;Confidence
My chunked my my wedge my my wedge chunked chunked.;Aural;Confidence
Past blew it.;Read/Write;Focus
Chili-dipped it it chili-dipped chili-dipped it.;Kinesthetic;Control
Chunked chunked chunked chunked.;Read/Write;Confidence
The left jaws the it jaws.;Kinesthetic;Focus
Scrambled scrambled scrambled scrambled scrambled scrambled hard hard hard hard scrambled hard.;Kinesthetic;Focus
Irons my pured pured irons pured.;Kinesthetic;Confidence
The drink the the.;Visual;Confidence
Burned edge the edge burned the edge.;Read/Write;Confidence
Scrambled scrambled scrambled hard scrambled hard scrambled hard hard scrambled scrambled.;Read/Write;Confidence
Jaws left jaws it jaws it left.;Read/Write;Control
Rolled rock rock the rolled rolled.;Aural;Control
Close close stuck it it it.;Kinesthetic;Control
The drink drink the drink.;Aural;Focus
Wedge chunked wedge chunked my.;Visual;Focus
Pin seeking went seeking went went seeking seeking went.;Read/Write;Confidence
In dialed in dialed dialed dialed.;Kinesthetic;Confidence
Fried egg fried egg fried fried.;Visual;Control
Rolled rolled rolled rock the the.;Read/Write;Confidence
Lie tight tight tight tight.;Kinesthetic;Confidence
It close stuck stuck.;Aural;Control
Over the the it laid it laid the sod laid laid sod laid.;Read/Write;Focus
My my irons irons.;Kinesthetic;Focus
My my chunked wedge my wedge wedge chunked my wedge my chunked.;Read/Write;Control
In in the drink drink in drink in drink drink drink drink.;Read/Write;Focus
The hit the the hit hit the screws hit hit the the.;Visual;Control
Flushed flushed it it.;Visual;Confidence
Hard hard hard scrambled scrambled hard scrambled scrambled scrambled hard.;Visual;Focus
Drive a a a a nuked a drive.;Kinesthetic;Focus
Lie lie lie tight tight.;Visual;Confidence
It it close stuck it stuck stuck stuck close.;Aural;Confidence
My my my my.;Aural;Focus
Pipe one pipe one pipe.;Read/Write;Confidence
Up up up and.;Aural;Focus
The in drink drink in.;Read/Write;Confidence
Close close it stuck.;Kinesthetic;Focus
Lie lie tight tight lie.;Aural;Confidence
Flushed flushed flushed flushed.;Aural;Focus
Left jaws the jaws.;Kinesthetic;Focus
And got and and down.;Read/Write;Control
In jaws it in it it it the left left left the left.;Kinesthetic;Confidence
Hard scrambled hard scrambled hard hard hard scrambled.;Read/Write;Confidence
Hit the hit the the.;Kinesthetic;Focus
And and got.;Read/Write;Confidence
Blew past it blew.;Read/Write;Confidence
The drink drink.;Read/Write;Confidence
Scrambled hard scrambled scrambled scrambled.;Kinesthetic;Confidence
Drive drive drive a drive nuked.;Visual;Control
Went pin went went.;Kinesthetic;Focus
Flushed it it flushed flushed it flushed.;Kinesthetic;Confidence
It chili-dipped chili-dipped it chili-dipped it chili-dipped.;Aural;Confidence
Blew blew it past past blew it it it it blew.;Read/Write;Confidence
Screws hit hit screws hit screws hit hit hit hit.;Aural;Confidence
Hard hard scrambled hard scrambled hard scrambled.;Visual;Control
Chili-dipped it chili-dipped chili-dipped chili-dipped chili-dipped.;Kinesthetic;Control
The burned edge edge edge burned edge burned the burned.;Visual;Focus
Drive nuked a drive drive drive a.;Read/Write;Focus
Jaws jaws in it.;Visual;Confidence
Sod it over over sod laid laid sod.;Read/Write;Focus
In dialed dialed dialed dialed in in in in in.;Kinesthetic;Control
Rock the rock rolled rolled.;Read/Write;Focus
It blew it it blew past it blew.;Aural;Control
Stuck it close close.;Aural;Focus
Got and down got up down and up.;Kinesthetic;Control
In left it left in left in jaws left it.;Read/Write;Confidence
Left the in left it left left left.;Aural;Confidence
Egg fried fried fried egg fried egg.;Visual;Confidence
It it chili-dipped it it chili-dipped chili-dipped it.;Visual;Confidence
Tight lie lie.;Read/Write;Confidence
It it stuck stuck close stuck it stuck close stuck close stuck.;Read/Write;Confidence
Jaws it it jaws left in jaws the jaws.;Kinesthetic;Confidence
Pipe pipe pipe.;Aural;Focus
In left jaws in.;Visual;Confidence
In jaws jaws in in jaws the.;Visual;Confidence
Lie lie tight tight lie tight lie tight lie lie lie tight.;Kinesthetic;Control
Fried egg egg egg fried.;Aural;Focus
Past blew past it blew it past it past.;Read/Write;Focus
The drink in drink the drink in.;Visual;Confidence
A drive a a drive a a.;Visual;Control
Hard scrambled scrambled hard.;Read/Write;Confidence
Scrambled scrambled scrambled hard hard scrambled scrambled hard hard scrambled.;Aural;Confidence
One one one pipe pipe pipe pipe pipe pipe pipe pipe.;Aural;Confidence
Blew past blew past past it past it it.;Read/Write;Control
Pipe pipe one one pipe pipe pipe pipe pipe pipe pipe one pipe.;Aural;Control
Burned edge burned burned burned edge.;Read/Write;Focus
Fried fried egg fried fried.;Aural;Control
Tight lie tight tight tight lie.;Read/Write;Confidence
In left the jaws.;Kinesthetic;Confidence
Drink drink in in.;Aural;Confidence
My irons irons irons.;Read/Write;Control
It laid sod over over sod the.;Aural;Focus
Screws the screws screws hit the hit the screws screws.;Read/Write;Control
Dialed dialed dialed dialed dialed in dialed in in dialed dialed dialed dialed.;Aural;Control
It flushed flushed.;Aural;Focus
Drive nuked nuked drive drive.;Aural;Focus
Pipe pipe pipe pipe.;Aural;Focus
Past blew blew blew blew it blew.;Aural;Focus
Seeking seeking went.;Visual;Control
In in in dialed in in in in dialed in in dialed.;Visual;Confidence
Chili-dipped chili-dipped chili-dipped chili-dipped.;Kinesthetic;Control
My wedge my chunked my wedge chunked my.;Visual;Confidence
My my my my pured pured my.;Visual;Focus
Seeking went went seeking pin seeking.;Read/Write;Confidence
Chunked my wedge wedge chunked wedge wedge wedge my.;Visual;Focus
Scrambled hard hard hard hard scrambled hard scrambled scrambled hard scrambled.;Kinesthetic;Control
One pipe pipe pipe one pipe.;Kinesthetic;Confidence
One pipe pipe.;Kinesthetic;Confidence
Pipe pipe one one one pipe pipe one pipe pipe.;Kinesthetic;Confidence
Close close it it stuck.;Visual;Confidence
Hard hard hard hard hard.;Kinesthetic;Focus
Fried fried fried egg fried fried egg fried.;Visual;Control
Wedge chunked my chunked wedge chunked.;Kinesthetic;Confidence
Jaws it left it.;Aural;Confidence
Tight lie tight lie tight tight lie tight tight.;Aural;Control
Flushed flushed flushed flushed it.;Read/Write;Confidence
Up got up down up got down down got got up up.;Read/Write;Confidence
Nuked nuked a drive nuked drive a drive drive.;Kinesthetic;Control
Dialed dialed in in in in dialed dialed in.;Aural;Focus
The it left in in it jaws.;Kinesthetic;Control
And up down and down and.;Aural;Control
Past it past blew it blew.;Aural;Focus
Fried fried fried fried egg.;Visual;Focus
The in the the drink in drink drink.;Visual;Focus
Close it close close close stuck close close.;Kinesthetic;Confidence
Nuked nuked drive nuked drive drive drive drive.;Read/Write;Confidence
Screws hit screws.;Read/Write;Focus
Scrambled hard scrambled scrambled.;Kinesthetic;Focus
Flushed it flushed it flushed it it it flushed.;Visual;Control
Went went seeking.;Read/Write;Control
Scrambled scrambled scrambled hard hard hard.;Read/Write;Focus
The screws screws screws the hit.;Visual;Focus
Dialed dialed dialed in in dialed dialed dialed.;Kinesthetic;Control
The sod laid over the.;Visual;Confidence
Pured pured irons pured my irons.;Kinesthetic;Control
The burned the edge burned.;Read/Write;Confidence
Seeking pin went seeking pin.;Visual;Control
Seeking seeking pin seeking.;Kinesthetic;Control
Drive nuked nuked a a drive drive a drive drive.;Aural;Confidence
Seeking pin seeking seeking went went went pin pin seeking.;Kinesthetic;Confidence
Screws hit the the hit hit.;Read/Write;Control
In dialed dialed dialed dialed dialed in.;Visual;Confidence
A drive a nuked nuked a drive drive nuked.;Kinesthetic;Confidence
In it the it the left left.;Visual;Focus
Lie lie lie tight tight.;Read/Write;Control
My chunked chunked my my my my chunked wedge wedge chunked.;Read/Write;Control
My wedge wedge my my wedge my wedge.;Kinesthetic;Control
It chili-dipped it chili-dipped chili-dipped it chili-dipped.;Aural;Control
Wedge chunked my my wedge wedge wedge.;Aural;Control
Jaws the left jaws in it it left jaws.;Visual;Confidence
Got down got.;Visual;Confidence
Hard scrambled scrambled scrambled scrambled scrambled scrambled.;Aural;Confidence
Over sod it it sod sod sod it the over.;Visual;Focus
The drink the drink the the the drink drink in.;Visual;Confidence
Seeking seeking went seeking seeking pin.;Aural;Focus
Hit hit hit hit the.;Aural;Confidence
Edge burned burned burned burned the edge the the.;Kinesthetic;Confidence
Tight lie lie tight tight tight lie.;Visual;Control
Got up got and.;Kinesthetic;Confidence
In in in drink drink.;Visual;Focus
Jaws left jaws it left the it jaws left.;Kinesthetic;Confidence
In dialed dialed dialed in in in in.;Read/Write;Control
Fried fried fried fried fried fried egg egg fried fried fried egg.;Visual;Focus
Pipe pipe pipe pipe one pipe one one.;Read/Write;Confidence
Blew blew blew blew it it it it it blew past past blew.;Visual;Control
It it it it flushed.;Visual;Control
Scrambled hard hard.;Kinesthetic;Focus
Hit hit screws hit.;Read/Write;Focus
Pin went pin seeking pin went.;Kinesthetic;Confidence
The the rock the the rock rock.;Read/Write;Focus
It it chili-dipped chili-dipped.;Aural;Control
Chunked my chunked.;Visual;Focus
Jaws it left left left left left.;Read/Write;Control
In in drink drink drink the drink.;Kinesthetic;Focus
Screws screws the the screws the screws screws.;Aural;Focus
Hard scrambled scrambled scrambled.;Aural;Confidence
Rock the the the.;Read/Write;Control
Chunked my my my chunked.;Read/Write;Confidence
The rock rock the the the the rock rolled.;Read/Write;Focus
In in in in dialed in dialed dialed in dialed.;Read/Write;Control
In drink the in the drink drink the.;Aural;Confidence
Egg fried egg egg egg.;Read/Write;Focus
It over it sod it it sod over the.;Visual;Focus
Rock rock the rock rock rolled.;Aural;Control
The left in left it.;Read/Write;Confidence
Close stuck close it it it.;Kinesthetic;Control
Pured my irons irons.;Visual;Confidence
Stuck stuck stuck close stuck close it.;Visual;Control
Flushed it flushed flushed.;Kinesthetic;Focus
Sod sod sod it it the laid.;Aural;Control
Edge the the edge burned burned.;Aural;Control
Screws screws hit.;Kinesthetic;Control
It it it chili-dipped.;Aural;Focus
The edge burned the burned burned edge the the the the.;Aural;Focus
Flushed it flushed flushed it flushed flushed it.;Aural;Control
The it it jaws left the left left the.;Aural;Focus
Burned the burned burned the the.;Visual;Confidence
Lie tight lie tight lie tight lie tight tight tight lie tight tight.;Kinesthetic;Control
One one pipe pipe.;Kinesthetic;Confidence
Burned edge the the.;Visual;Control
Down down and and and and got up got.;Visual;Confidence
And and down and.;Read/Write;Confidence
Wedge my my my my.;Visual;Control
Scrambled scrambled hard scrambled scrambled hard.;Visual;Confidence
The hit screws.;Visual;Control
Scrambled scrambled scrambled scrambled hard scrambled.;Kinesthetic;Control
Hard hard hard hard scrambled hard hard.;Kinesthetic;Focus
In the drink in drink in in drink the.;Kinesthetic;Control
Scrambled scrambled scrambled scrambled hard hard.;Aural;Confidence
In dialed in in in dialed.;Read/Write;Focus
Rolled rolled rolled rock rolled.;Read/Write;Control
In drink drink drink drink the drink in drink in.;Aural;Control
Fried egg egg fried fried egg fried egg egg egg egg.;Read/Write;Focus
Tight tight tight lie tight.;Visual;Focus
Egg fried fried fried egg.;Visual;Focus
My irons my irons irons my my pured my.;Kinesthetic;Confidence
The left it the the it jaws the.;Kinesthetic;Focus
A drive drive nuked drive drive nuked a nuked nuked drive nuked nuked.;Visual;Control
Scrambled hard hard scrambled hard scrambled scrambled hard scrambled scrambled hard scrambled.;Visual;Control
One one one one pipe one.;Kinesthetic;Focus
Drink drink drink in drink.;Read/Write;Control
My my chunked chunked my wedge wedge my wedge.;Kinesthetic;Focus
Hard hard scrambled.;Aural;Control
Wedge chunked chunked chunked my.;Aural;Control
Close stuck close stuck.;Visual;Control
The the hit screws.;Visual;Focus
It it blew past blew past blew it it past.;Read/Write;Focus
Pured irons my my irons my irons.;Visual;Focus
Went pin went went pin went seeking went seeking.;Aural;Focus
Left the it jaws in in.;Read/Write;Focus
Dialed dialed dialed dialed.;Aural;Focus
Edge the the burned burned edge.;Aural;Control
Chili-dipped it it it it chili-dipped.;Kinesthetic;Focus
My irons pured my irons.;Read/Write;Confidence
It past past blew.;Read/Write;Focus
In the in the the in the drink.;Visual;Control
Tight tight tight.;Read/Write;Confidence
Past past past past blew.;Read/Write;Control
Drive nuked a drive a drive.;Read/Write;Control
One one pipe one one pipe pipe one one.;Aural;Confidence
One one pipe pipe.;Aural;Confidence
It it stuck it close it stuck it it close close stuck.;Aural;Focus
Egg egg fried fried.;Kinesthetic;Control
In in dialed dialed in in in.;Kinesthetic;Focus
Screws hit screws.;Aural;Control
Got got and down got down down and got up.;Kinesthetic;Focus
Pin went pin seeking pin seeking went seeking.;Read/Write;Confidence
Hard scrambled hard hard hard scrambled scrambled hard scrambled hard scrambled scrambled.;Read/Write;Confidence
In in in dialed dialed dialed dialed dialed dialed.;Kinesthetic;Focus
Pin went went seeking went went seeking seeking pin seeking pin.;Read/Write;Control
Stuck it close it it it close it close.;Read/Write;Control
The the edge burned the burned edge.;Visual;Control
In drink the in the the.;Aural;Confidence
Burned edge the burned.;Read/Write;Control
Pipe one pipe one one pipe pipe.;Read/Write;Confidence
Got got up and down up got.;Visual;Control
Up down down got got up got up.;Kinesthetic;Focus
Egg egg egg fried fried egg egg fried.;Aural;Control
It chili-dipped it.;Visual;Confidence
The in drink in the in the in drink.;Read/Write;Confidence
Left it it left it it it in.;Read/Write;Focus
It it chili-dipped chili-dipped chili-dipped it.;Read/Write;Focus
My irons pured my pured irons irons pured pured.;Read/Write;Control
Stuck close stuck it it stuck stuck.;Aural;Control
Rock rock rock the the rolled.;Aural;Focus
In dialed dialed dialed dialed in dialed in.;Visual;Confidence
Chunked chunked chunked chunked my.;Kinesthetic;Focus
It flushed it it it it flushed it it flushed it flushed.;Read/Write;Focus
The rock rock rolled the rolled the rock.;Aural;Control
Left the left in jaws in.;Kinesthetic;Control
Flushed it it it it.;Kinesthetic;Focus
Screws the hit the the screws screws.;Visual;Control
Rock the rock the the rock rock rolled rolled.;Read/Write;Control
Chunked my my chunked wedge.;Visual;Focus
Egg egg egg egg fried fried fried egg.;Aural;Focus
Edge edge edge burned the burned burned the.;Visual;Focus
Pipe one one pipe one one pipe.;Visual;Confidence
Jaws jaws left in the left left it it it.;Visual;Focus
Tight tight lie lie tight.;Visual;Focus
It it it it flushed it.;Kinesthetic;Focus
Over it it laid.;Kinesthetic;Focus
Hard hard hard scrambled scrambled hard.;Aural;Confidence
The the hit screws hit.;Read/Write;Focus
Tight lie lie tight tight.;Visual;Focus
My my chunked chunked chunked chunked chunked wedge chunked.;Read/Write;Confidence
Seeking seeking went seeking seeking seeking went.;Kinesthetic;Control
It chili-dipped chili-dipped it.;Visual;Confidence
Tight tight lie tight lie.;Kinesthetic;Focus
A a nuked a drive a nuked nuked drive.;Visual;Focus
Screws hit hit the hit hit the.;Read/Write;Control
The rolled the rolled the the rock rock rolled.;Read/Write;Control
My my wedge wedge wedge my wedge my my.;Visual;Focus
Nuked a drive nuked drive nuked drive drive.;Visual;Confidence
Pin seeking pin went seeking.;Kinesthetic;Control
Wedge chunked chunked my wedge my.;Aural;Focus
Irons irons pured my pured my my.;Read/Write;Control
Lie lie lie lie lie lie lie.;Read/Write;Confidence
Sod it sod over sod laid the sod it.;Visual;Confidence
Flushed flushed flushed flushed flushed flushed it flushed flushed.;Kinesthetic;Focus
Drive nuked a drive a nuked drive a.;Visual;Control
One one pipe.;Read/Write;Confidence
Irons my irons irons pured my pured irons.;Visual;Focus
Egg egg fried egg egg fried fried egg fried fried.;Aural;Control
A a drive drive a.;Visual;Focus
It sod it laid the sod.;Visual;Focus
The the screws screws screws the hit screws hit screws screws.;Aural;Confidence
My pured my irons pured irons pured irons.;Kinesthetic;Confidence
The rock the the the the rolled.;Kinesthetic;Confidence
Rock rolled rock rolled the rock rolled the.;Kinesthetic;Confidence
Dialed in dialed in dialed in dialed in dialed.;Aural;Confidence
Fried fried egg fried egg fried egg.;Aural;Focus
Tight lie tight tight tight lie.;Read/Write;Focus
Dialed in in.;Kinesthetic;Control
It it it chili-dipped it chili-dipped chili-dipped chili-dipped chili-dipped.;Kinesthetic;Focus
My wedge chunked chunked chunked chunked.;Aural;Control
Blew blew past it blew blew it.;Read/Write;Confidence
Dialed in in in in dialed dialed in in in dialed dialed.;Kinesthetic;Control
Over the laid it laid.;Read/Write;Control
Past past it it.;Kinesthetic;Control
Dialed dialed in in in dialed.;Aural;Focus
Blew past past past it.;Read/Write;Focus
Went seeking seeking pin went.;Aural;Control
Burned edge the edge burned the.;Kinesthetic;Focus
It left jaws the in jaws.;Visual;Control
The the over sod.;Visual;Confidence
Irons irons my irons my irons my.;Read/Write;Focus
Tight tight tight lie lie.;Visual;Focus
My irons pured irons my.;Aural;Focus
The it left.;Visual;Focus
Screws the the the screws the hit.;Read/Write;Focus
Blew it blew past past it past blew past blew.;Read/Write;Focus
Hard hard scrambled hard hard scrambled hard hard.;Visual;Confidence
It left left it left.;Aural;Control
The in in the the left jaws.;Visual;Control
Rolled rock rock rock the rolled rock.;Visual;Confidence
The edge burned the.;Visual;Control
Rock the the.;Aural;Focus
It laid laid sod over over it the the the laid laid.;Visual;Focus
Nuked a drive nuked nuked.;Aural;Control
Burned burned the.;Read/Write;Focus
Scrambled scrambled scrambled scrambled scrambled scrambled.;Read/Write;Control
Pin went went seeking pin.;Visual;Focus
Jaws left in it.;Aural;Confidence
Jaws left in it the it it.;Visual;Confidence
The edge burned.;Visual;Focus
Pured my irons pured my irons.;Kinesthetic;Confidence
Fried fried fried fried fried.;Visual;Focus
My my chunked chunked my chunked my chunked my my.;Read/Write;Control
Lie tight lie tight lie lie lie lie tight tight.;Kinesthetic;Focus
Stuck close stuck it stuck.;Kinesthetic;Control
Wedge chunked wedge chunked wedge my wedge wedge.;Read/Write;Control
The drink in drink.;Aural;Focus
It close stuck stuck it it close it.;Read/Write;Confidence
Close close it close it it it.;Read/Write;Control
The the the screws hit hit.;Read/Write;Control
Chili-dipped chili-dipped it it chili-dipped it chili-dipped it chili-dipped it.;Read/Write;Confidence
Burned edge burned edge burned the edge edge.;Visual;Control
The the the screws the screws hit the.;Kinesthetic;Control
Up up got and and up.;Visual;Control
It close close it stuck close it stuck stuck it close.;Aural;Focus
Laid laid over laid the it sod.;Read/Write;Control
Egg egg fried.;Aural;Control
Chili-dipped chili-dipped it.;Visual;Focus
Rolled the rock rock the rolled rolled the the.;Read/Write;Focus
It it it it chili-dipped it chili-dipped.;Aural;Control
And got and up up up up.;Kinesthetic;Confidence
Drive a a a nuked drive nuked.;Aural;Focus
The hit hit screws the hit hit hit hit hit the.;Aural;Focus
It in in left in left the jaws.;Kinesthetic;Focus
Rock rolled rock the.;Visual;Confidence
Over it the it laid.;Read/Write;Confidence
Pin pin pin seeking seeking pin pin.;Aural;Control
Wedge wedge my my my chunked wedge wedge my.;Read/Write;Control
One one pipe pipe one one.;Kinesthetic;Confidence
Chunked wedge chunked wedge.;Kinesthetic;Confidence
Screws hit screws screws hit.;Visual;Control
Drive a a a drive nuked a nuked a nuked nuked.;Kinesthetic;Confidence
Hard hard scrambled scrambled scrambled hard scrambled hard scrambled.;Read/Write;Confidence
Blew blew blew blew it blew past past past blew blew.;Kinesthetic;Control
Fried egg fried fried fried.;Kinesthetic;Control
It blew past it it past blew blew.;Visual;Confidence
The the the the screws.;Kinesthetic;Control
Rock rock the rolled rock rolled.;Aural;Confidence
Down up up got got.;Read/Write;Focus
Tight tight lie tight.;Read/Write;Control
It it chili-dipped it chili-dipped.;Aural;Focus
Egg fried fried egg fried egg fried fried egg fried fried egg.;Aural;Confidence
Pipe one pipe pipe pipe one.;Aural;Control
In dialed dialed dialed.;Kinesthetic;Confidence
Flushed flushed flushed it flushed flushed flushed flushed.;Read/Write;Focus
Irons pured irons irons my pured my my my pured pured.;Kinesthetic;Focus
Stuck stuck stuck it close close close it it close stuck.;Aural;Control
Over the over over over sod.;Kinesthetic;Confidence
Nuked nuked nuked nuked drive nuked drive.;Visual;Control
In drink in in in the.;Kinesthetic;Control
Egg fried fried fried fried fried egg egg.;Aural;Control
And got down got.;Kinesthetic;Confidence
Hard hard scrambled hard scrambled hard.;Read/Write;Confidence
The it in.;Kinesthetic;Focus
In the the drink drink the.;Kinesthetic;Confidence
Hard scrambled scrambled scrambled hard hard.;Aural;Confidence
Edge edge the burned the burned.;Read/Write;Control
And up and and and down got down got and.;Aural;Focus
The screws the screws screws hit.;Kinesthetic;Confidence
In dialed dialed dialed in.;Aural;Focus
In left left it in in in in it.;Aural;Confidence
Tight lie tight tight lie tight tight.;Aural;Control
Chili-dipped chili-dipped it.;Visual;Confidence
Chunked my chunked chunked chunked wedge wedge chunked my wedge.;Aural;Focus
Rolled the the the rolled rock rock rock rolled the the rock.;Read/Write;Confidence
Lie lie tight lie lie.;Visual;Confidence
Chili-dipped chili-dipped it chili-dipped it it chili-dipped it chili-dipped chili-dipped.;Aural;Control
Got and up up up and up got got.;Read/Write;Confidence
Chili-dipped it it chili-dipped it.;Aural;Focus
Drive a nuked drive drive a drive drive.;Aural;Control
It flushed flushed it it flushed.;Read/Write;Focus
Fried fried fried egg fried.;Visual;Control
One one one pipe pipe one one one one pipe pipe pipe.;Read/Write;Focus
Edge burned edge burned edge burned the edge burned.;Visual;Control
It flushed it flushed it it flushed it.;Read/Write;Control
My irons pured pured.;Read/Write;Focus
Egg egg egg.;Aural;Confidence
Flushed flushed flushed flushed flushed it flushed.;Kinesthetic;Confidence
In in drink in the drink the in in.;Read/Write;Focus
Stuck close stuck it close.;Read/Write;Focus
The the burned edge the burned.;Kinesthetic;Confidence
Went pin pin seeking pin went.;Kinesthetic;Confidence
Fried fried fried fried egg fried fried fried.;Read/Write;Control
And up got got got got.;Read/Write;Focus
Close stuck stuck stuck stuck it it close.;Read/Write;Control
Screws hit the the screws.;Aural;Focus
Got up down down up up.;Kinesthetic;Confidence
Stuck stuck it close.;Aural;Confidence
The the screws hit.;Visual;Confidence
In in dialed in in dialed dialed.;Aural;Focus
The the the the drink the in drink the drink drink.;Visual;Focus
It it chili-dipped chili-dipped chili-dipped.;Visual;Focus
In the jaws left left the jaws.;Aural;Confidence
Hard scrambled hard hard scrambled.;Aural;Focus
Seeking went pin seeking seeking went.;Read/Write;Focus
Pipe one one pipe pipe.;Kinesthetic;Confidence
It it flushed flushed it it flushed it flushed it.;Visual;Focus
It past past it blew.;Read/Write;Confidence
