User Phrase;VARK Style;Pillar;Mood
I kinda zoned out mid-round 😶;Visual;Focus;excited
Ugh, total brain fog on that hole...;Read/Write;Focus;confused
Hey coach, was that reset okay?;Aural;Confidence;pumped
I kinda zoned out mid-round 😶;Aural;Focus;shy
Wait, so was I supposed to breathe there?;Visual;Control;pumped
Hey coach, was that reset okay?;Visual;Focus;bored
Ugh, total brain fog on that hole...;Aural;Control;confused
Not feelin' my routine today 😕;Kinesthetic;Confidence;pumped
Ugh, total brain fog on that hole...;Read/Write;Focus;excited
Whoa, I just aced my focus drill!;Kinesthetic;Confidence;shy
Does this count as visualization?;Kinesthetic;Control;bored
Whoa, I just aced my focus drill!;Visual;Control;shy
Ugh, total brain fog on that hole...;Aural;Confidence;shy
Pretty sure my confidence just leveled up 🔥;Read/Write;Control;bored
I actually crushed it this time!;Visual;Focus;excited
Wait, so was I supposed to breathe there?;Visual;Focus;confused
Whoa, I just aced my focus drill!;Aural;Control;pumped
Whoa, I just aced my focus drill!;Aural;Confidence;confused
I kinda zoned out mid-round 😶;Aural;Confidence;excited
Ugh, total brain fog on that hole...;Visual;Focus;shy
I kinda zoned out mid-round 😶;Kinesthetic;Focus;bored
Whoa, I just aced my focus drill!;Read/Write;Focus;bored
Does this count as visualization?;Visual;Confidence;shy
Whoa, I just aced my focus drill!;Aural;Confidence;confused
I actually crushed it this time!;Kinesthetic;Focus;bored
Ugh, total brain fog on that hole...;Kinesthetic;Control;shy
Ugh, total brain fog on that hole...;Read/Write;Control;shy
Can I get a redo on that swing?;Read/Write;Control;excited
Does this count as visualization?;Aural;Focus;excited
I actually crushed it this time!;Read/Write;Control;confused
Can I get a redo on that swing?;Read/Write;Focus;bored
Whoa, I just aced my focus drill!;Visual;Focus;confused
Does this count as visualization?;Visual;Focus;excited
Pretty sure my confidence just leveled up 🔥;Read/Write;Control;excited
Hey coach, was that reset okay?;Read/Write;Control;shy
Ugh, total brain fog on that hole...;Visual;Focus;bored
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;shy
I kinda zoned out mid-round 😶;Visual;Focus;shy
Not feelin' my routine today 😕;Read/Write;Control;bored
Ugh, total brain fog on that hole...;Read/Write;Confidence;excited
Does this count as visualization?;Read/Write;Focus;confused
Ugh, total brain fog on that hole...;Visual;Focus;bored
Not feelin' my routine today 😕;Kinesthetic;Focus;pumped
Whoa, I just aced my focus drill!;Kinesthetic;Focus;confused
Can I get a redo on that swing?;Kinesthetic;Control;excited
Does this count as visualization?;Kinesthetic;Confidence;shy
Does this count as visualization?;Visual;Confidence;pumped
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;pumped
I actually crushed it this time!;Kinesthetic;Focus;excited
Can I get a redo on that swing?;Kinesthetic;Control;shy
Hey coach, was that reset okay?;Visual;Confidence;bored
Ugh, total brain fog on that hole...;Kinesthetic;Control;shy
I kinda zoned out mid-round 😶;Aural;Focus;shy
Pretty sure my confidence just leveled up 🔥;Visual;Confidence;pumped
Wait, so was I supposed to breathe there?;Aural;Confidence;confused
Can I get a redo on that swing?;Read/Write;Control;excited
Ugh, total brain fog on that hole...;Visual;Focus;bored
Whoa, I just aced my focus drill!;Kinesthetic;Control;bored
Pretty sure my confidence just leveled up 🔥;Read/Write;Focus;excited
Wait, so was I supposed to breathe there?;Read/Write;Focus;pumped
Can I get a redo on that swing?;Kinesthetic;Control;excited
Ugh, total brain fog on that hole...;Visual;Focus;bored
Can I get a redo on that swing?;Visual;Control;excited
Hey coach, was that reset okay?;Visual;Control;shy
Does this count as visualization?;Aural;Focus;shy
I actually crushed it this time!;Aural;Focus;bored
I kinda zoned out mid-round 😶;Kinesthetic;Control;pumped
Not feelin' my routine today 😕;Kinesthetic;Confidence;pumped
I actually crushed it this time!;Read/Write;Control;confused
Hey coach, was that reset okay?;Kinesthetic;Focus;excited
Does this count as visualization?;Visual;Focus;confused
Wait, so was I supposed to breathe there?;Visual;Focus;pumped
I actually crushed it this time!;Read/Write;Focus;pumped
Wait, so was I supposed to breathe there?;Read/Write;Focus;confused
I actually crushed it this time!;Aural;Confidence;shy
Not feelin' my routine today 😕;Visual;Control;pumped
I kinda zoned out mid-round 😶;Visual;Control;shy
I actually crushed it this time!;Visual;Control;shy
Pretty sure my confidence just leveled up 🔥;Visual;Confidence;shy
Does this count as visualization?;Read/Write;Control;bored
I actually crushed it this time!;Aural;Control;bored
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Control;bored
Ugh, total brain fog on that hole...;Kinesthetic;Focus;shy
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;bored
Not feelin' my routine today 😕;Read/Write;Confidence;confused
Whoa, I just aced my focus drill!;Kinesthetic;Confidence;confused
I actually crushed it this time!;Aural;Focus;bored
Can I get a redo on that swing?;Kinesthetic;Confidence;shy
Ugh, total brain fog on that hole...;Kinesthetic;Control;confused
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Confidence;pumped
Does this count as visualization?;Aural;Confidence;excited
Does this count as visualization?;Kinesthetic;Control;shy
Does this count as visualization?;Aural;Focus;shy
I actually crushed it this time!;Visual;Control;pumped
Hey coach, was that reset okay?;Aural;Confidence;confused
Hey coach, was that reset okay?;Visual;Confidence;confused
Hey coach, was that reset okay?;Aural;Confidence;bored
Not feelin' my routine today 😕;Kinesthetic;Control;pumped
Can I get a redo on that swing?;Kinesthetic;Focus;bored
Whoa, I just aced my focus drill!;Visual;Focus;excited
Wait, so was I supposed to breathe there?;Read/Write;Control;pumped
Hey coach, was that reset okay?;Read/Write;Focus;excited
Does this count as visualization?;Aural;Control;pumped
Wait, so was I supposed to breathe there?;Visual;Focus;excited
Ugh, total brain fog on that hole...;Read/Write;Confidence;shy
Not feelin' my routine today 😕;Kinesthetic;Confidence;bored
Does this count as visualization?;Read/Write;Confidence;bored
Pretty sure my confidence just leveled up 🔥;Aural;Focus;bored
Not feelin' my routine today 😕;Visual;Confidence;pumped
Can I get a redo on that swing?;Kinesthetic;Control;pumped
Hey coach, was that reset okay?;Aural;Control;confused
I kinda zoned out mid-round 😶;Read/Write;Control;excited
Wait, so was I supposed to breathe there?;Read/Write;Control;pumped
Not feelin' my routine today 😕;Read/Write;Confidence;pumped
Whoa, I just aced my focus drill!;Visual;Control;bored
I kinda zoned out mid-round 😶;Read/Write;Confidence;excited
Whoa, I just aced my focus drill!;Aural;Confidence;confused
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;shy
Hey coach, was that reset okay?;Kinesthetic;Confidence;bored
Ugh, total brain fog on that hole...;Aural;Control;bored
Can I get a redo on that swing?;Aural;Confidence;pumped
Not feelin' my routine today 😕;Visual;Confidence;shy
Pretty sure my confidence just leveled up 🔥;Aural;Focus;shy
Whoa, I just aced my focus drill!;Visual;Control;bored
Ugh, total brain fog on that hole...;Aural;Confidence;bored
Can I get a redo on that swing?;Kinesthetic;Focus;confused
Wait, so was I supposed to breathe there?;Kinesthetic;Focus;excited
Not feelin' my routine today 😕;Kinesthetic;Control;bored
Hey coach, was that reset okay?;Kinesthetic;Control;confused
Wait, so was I supposed to breathe there?;Aural;Control;pumped
Not feelin' my routine today 😕;Kinesthetic;Focus;pumped
Does this count as visualization?;Aural;Focus;pumped
Ugh, total brain fog on that hole...;Aural;Confidence;confused
Wait, so was I supposed to breathe there?;Visual;Control;pumped
Not feelin' my routine today 😕;Aural;Confidence;excited
I kinda zoned out mid-round 😶;Aural;Confidence;shy
Can I get a redo on that swing?;Kinesthetic;Control;confused
I actually crushed it this time!;Kinesthetic;Control;confused
Ugh, total brain fog on that hole...;Visual;Focus;shy
Can I get a redo on that swing?;Kinesthetic;Focus;pumped
Does this count as visualization?;Aural;Focus;bored
I kinda zoned out mid-round 😶;Visual;Focus;shy
I actually crushed it this time!;Visual;Control;confused
I actually crushed it this time!;Kinesthetic;Control;shy
I actually crushed it this time!;Kinesthetic;Confidence;pumped
Hey coach, was that reset okay?;Kinesthetic;Confidence;confused
Can I get a redo on that swing?;Read/Write;Focus;confused
Pretty sure my confidence just leveled up 🔥;Visual;Focus;confused
Whoa, I just aced my focus drill!;Aural;Focus;bored
Hey coach, was that reset okay?;Read/Write;Confidence;bored
Hey coach, was that reset okay?;Visual;Control;confused
Does this count as visualization?;Read/Write;Control;bored
I kinda zoned out mid-round 😶;Kinesthetic;Control;bored
Not feelin' my routine today 😕;Kinesthetic;Control;bored
Hey coach, was that reset okay?;Visual;Confidence;excited
Whoa, I just aced my focus drill!;Kinesthetic;Focus;pumped
Pretty sure my confidence just leveled up 🔥;Aural;Confidence;shy
Wait, so was I supposed to breathe there?;Read/Write;Control;pumped
Can I get a redo on that swing?;Read/Write;Focus;confused
Whoa, I just aced my focus drill!;Aural;Focus;bored
Ugh, total brain fog on that hole...;Visual;Confidence;excited
I actually crushed it this time!;Aural;Focus;confused
Ugh, total brain fog on that hole...;Kinesthetic;Control;bored
Not feelin' my routine today 😕;Aural;Control;pumped
Not feelin' my routine today 😕;Aural;Focus;confused
I actually crushed it this time!;Visual;Focus;shy
I kinda zoned out mid-round 😶;Aural;Control;bored
Ugh, total brain fog on that hole...;Visual;Confidence;excited
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;excited
Not feelin' my routine today 😕;Kinesthetic;Confidence;bored
Does this count as visualization?;Read/Write;Focus;excited
I kinda zoned out mid-round 😶;Read/Write;Control;excited
Hey coach, was that reset okay?;Aural;Focus;bored
Not feelin' my routine today 😕;Visual;Focus;confused
Ugh, total brain fog on that hole...;Visual;Control;bored
Does this count as visualization?;Visual;Control;excited
Whoa, I just aced my focus drill!;Aural;Focus;confused
Hey coach, was that reset okay?;Aural;Focus;confused
I actually crushed it this time!;Read/Write;Confidence;excited
Can I get a redo on that swing?;Aural;Control;shy
I kinda zoned out mid-round 😶;Read/Write;Focus;bored
Pretty sure my confidence just leveled up 🔥;Aural;Confidence;pumped
Does this count as visualization?;Kinesthetic;Control;excited
I kinda zoned out mid-round 😶;Read/Write;Confidence;excited
I actually crushed it this time!;Kinesthetic;Confidence;pumped
Whoa, I just aced my focus drill!;Visual;Focus;shy
Can I get a redo on that swing?;Read/Write;Control;bored
Whoa, I just aced my focus drill!;Kinesthetic;Control;pumped
Not feelin' my routine today 😕;Kinesthetic;Confidence;confused
Whoa, I just aced my focus drill!;Kinesthetic;Control;pumped
Ugh, total brain fog on that hole...;Visual;Confidence;bored
I kinda zoned out mid-round 😶;Read/Write;Confidence;confused
Not feelin' my routine today 😕;Visual;Confidence;confused
Can I get a redo on that swing?;Kinesthetic;Confidence;excited
Not feelin' my routine today 😕;Read/Write;Control;confused
Whoa, I just aced my focus drill!;Visual;Focus;pumped
I kinda zoned out mid-round 😶;Aural;Confidence;pumped
Pretty sure my confidence just leveled up 🔥;Visual;Control;shy
Not feelin' my routine today 😕;Visual;Control;confused
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;bored
Hey coach, was that reset okay?;Aural;Focus;excited
I actually crushed it this time!;Visual;Focus;pumped
Whoa, I just aced my focus drill!;Aural;Confidence;bored
Hey coach, was that reset okay?;Read/Write;Control;confused
Wait, so was I supposed to breathe there?;Read/Write;Control;pumped
Not feelin' my routine today 😕;Aural;Focus;bored
Can I get a redo on that swing?;Aural;Control;shy
Pretty sure my confidence just leveled up 🔥;Read/Write;Confidence;confused
Not feelin' my routine today 😕;Kinesthetic;Confidence;pumped
Whoa, I just aced my focus drill!;Visual;Confidence;excited
Does this count as visualization?;Aural;Focus;confused
Not feelin' my routine today 😕;Read/Write;Control;pumped
Not feelin' my routine today 😕;Read/Write;Control;excited
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;shy
Can I get a redo on that swing?;Kinesthetic;Control;pumped
Wait, so was I supposed to breathe there?;Aural;Confidence;excited
I kinda zoned out mid-round 😶;Visual;Control;confused
Whoa, I just aced my focus drill!;Kinesthetic;Focus;confused
Can I get a redo on that swing?;Read/Write;Control;excited
Not feelin' my routine today 😕;Aural;Confidence;confused
Hey coach, was that reset okay?;Aural;Confidence;bored
Does this count as visualization?;Visual;Confidence;bored
I actually crushed it this time!;Kinesthetic;Control;bored
Hey coach, was that reset okay?;Aural;Control;pumped
Ugh, total brain fog on that hole...;Aural;Focus;excited
Can I get a redo on that swing?;Visual;Focus;confused
Can I get a redo on that swing?;Visual;Focus;confused
Wait, so was I supposed to breathe there?;Kinesthetic;Focus;confused
I actually crushed it this time!;Read/Write;Confidence;shy
Pretty sure my confidence just leveled up 🔥;Visual;Control;pumped
Hey coach, was that reset okay?;Read/Write;Control;confused
Does this count as visualization?;Visual;Confidence;confused
Whoa, I just aced my focus drill!;Visual;Confidence;confused
Does this count as visualization?;Kinesthetic;Confidence;excited
Not feelin' my routine today 😕;Read/Write;Control;bored
Ugh, total brain fog on that hole...;Aural;Focus;confused
Wait, so was I supposed to breathe there?;Kinesthetic;Focus;confused
I actually crushed it this time!;Visual;Focus;bored
Whoa, I just aced my focus drill!;Kinesthetic;Confidence;pumped
Can I get a redo on that swing?;Kinesthetic;Confidence;pumped
Does this count as visualization?;Kinesthetic;Control;excited
Not feelin' my routine today 😕;Kinesthetic;Confidence;shy
Hey coach, was that reset okay?;Aural;Focus;confused
Wait, so was I supposed to breathe there?;Visual;Confidence;confused
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Confidence;shy
I actually crushed it this time!;Aural;Confidence;excited
Not feelin' my routine today 😕;Kinesthetic;Focus;bored
Ugh, total brain fog on that hole...;Kinesthetic;Control;confused
Whoa, I just aced my focus drill!;Visual;Confidence;confused
I kinda zoned out mid-round 😶;Aural;Control;pumped
I kinda zoned out mid-round 😶;Visual;Control;pumped
Not feelin' my routine today 😕;Visual;Confidence;excited
Hey coach, was that reset okay?;Visual;Control;confused
I actually crushed it this time!;Aural;Confidence;shy
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Confidence;confused
Pretty sure my confidence just leveled up 🔥;Read/Write;Confidence;pumped
I kinda zoned out mid-round 😶;Kinesthetic;Control;bored
Hey coach, was that reset okay?;Aural;Confidence;pumped
I kinda zoned out mid-round 😶;Visual;Focus;bored
I kinda zoned out mid-round 😶;Visual;Focus;bored
I actually crushed it this time!;Aural;Confidence;bored
Whoa, I just aced my focus drill!;Aural;Confidence;pumped
Does this count as visualization?;Visual;Focus;bored
Ugh, total brain fog on that hole...;Read/Write;Control;bored
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Confidence;excited
Not feelin' my routine today 😕;Aural;Focus;shy
Can I get a redo on that swing?;Kinesthetic;Focus;bored
Can I get a redo on that swing?;Aural;Focus;shy
Does this count as visualization?;Visual;Focus;excited
Whoa, I just aced my focus drill!;Read/Write;Focus;pumped
Can I get a redo on that swing?;Read/Write;Confidence;bored
Wait, so was I supposed to breathe there?;Read/Write;Focus;excited
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Focus;shy
Can I get a redo on that swing?;Visual;Focus;bored
Wait, so was I supposed to breathe there?;Visual;Focus;excited
Whoa, I just aced my focus drill!;Kinesthetic;Control;bored
Pretty sure my confidence just leveled up 🔥;Read/Write;Control;shy
Not feelin' my routine today 😕;Read/Write;Focus;confused
I kinda zoned out mid-round 😶;Aural;Focus;bored
Not feelin' my routine today 😕;Read/Write;Control;shy
Pretty sure my confidence just leveled up 🔥;Read/Write;Control;pumped
Pretty sure my confidence just leveled up 🔥;Read/Write;Confidence;confused
Can I get a redo on that swing?;Read/Write;Focus;excited
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;confused
I kinda zoned out mid-round 😶;Aural;Control;excited
Can I get a redo on that swing?;Read/Write;Control;confused
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;pumped
Not feelin' my routine today 😕;Read/Write;Focus;confused
I actually crushed it this time!;Kinesthetic;Confidence;bored
Hey coach, was that reset okay?;Aural;Control;shy
Not feelin' my routine today 😕;Aural;Confidence;excited
Does this count as visualization?;Kinesthetic;Focus;shy
I kinda zoned out mid-round 😶;Kinesthetic;Control;confused
Pretty sure my confidence just leveled up 🔥;Aural;Confidence;confused
Wait, so was I supposed to breathe there?;Kinesthetic;Focus;shy
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;shy
I kinda zoned out mid-round 😶;Kinesthetic;Control;bored
Hey coach, was that reset okay?;Kinesthetic;Control;confused
Wait, so was I supposed to breathe there?;Aural;Control;pumped
Does this count as visualization?;Aural;Focus;shy
I kinda zoned out mid-round 😶;Aural;Control;bored
Does this count as visualization?;Kinesthetic;Focus;excited
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;pumped
Does this count as visualization?;Aural;Control;shy
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;shy
I actually crushed it this time!;Read/Write;Focus;confused
Can I get a redo on that swing?;Kinesthetic;Confidence;excited
Ugh, total brain fog on that hole...;Kinesthetic;Control;shy
Wait, so was I supposed to breathe there?;Visual;Confidence;shy
Wait, so was I supposed to breathe there?;Kinesthetic;Confidence;confused
Does this count as visualization?;Kinesthetic;Focus;confused
Hey coach, was that reset okay?;Kinesthetic;Control;bored
Can I get a redo on that swing?;Visual;Focus;bored
Can I get a redo on that swing?;Aural;Confidence;excited
Hey coach, was that reset okay?;Kinesthetic;Confidence;bored
Not feelin' my routine today 😕;Kinesthetic;Confidence;bored
Pretty sure my confidence just leveled up 🔥;Aural;Control;excited
Not feelin' my routine today 😕;Kinesthetic;Control;excited
Hey coach, was that reset okay?;Visual;Confidence;bored
I kinda zoned out mid-round 😶;Visual;Focus;excited
Does this count as visualization?;Visual;Control;pumped
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;shy
Does this count as visualization?;Aural;Confidence;excited
Can I get a redo on that swing?;Read/Write;Focus;shy
Pretty sure my confidence just leveled up 🔥;Read/Write;Confidence;bored
Can I get a redo on that swing?;Aural;Confidence;excited
Whoa, I just aced my focus drill!;Read/Write;Control;bored
Whoa, I just aced my focus drill!;Visual;Control;bored
Not feelin' my routine today 😕;Visual;Focus;shy
Wait, so was I supposed to breathe there?;Read/Write;Control;excited
Ugh, total brain fog on that hole...;Aural;Focus;bored
Ugh, total brain fog on that hole...;Kinesthetic;Control;confused
Not feelin' my routine today 😕;Visual;Focus;bored
I kinda zoned out mid-round 😶;Kinesthetic;Control;excited
Can I get a redo on that swing?;Read/Write;Control;shy
I kinda zoned out mid-round 😶;Kinesthetic;Control;pumped
Pretty sure my confidence just leveled up 🔥;Aural;Confidence;pumped
Ugh, total brain fog on that hole...;Aural;Focus;shy
Can I get a redo on that swing?;Aural;Control;bored
Hey coach, was that reset okay?;Kinesthetic;Control;bored
Can I get a redo on that swing?;Visual;Focus;shy
I kinda zoned out mid-round 😶;Aural;Focus;shy
Hey coach, was that reset okay?;Kinesthetic;Confidence;confused
I actually crushed it this time!;Read/Write;Focus;excited
Hey coach, was that reset okay?;Read/Write;Control;shy
Pretty sure my confidence just leveled up 🔥;Visual;Focus;shy
Not feelin' my routine today 😕;Kinesthetic;Focus;bored
Whoa, I just aced my focus drill!;Read/Write;Confidence;confused
I kinda zoned out mid-round 😶;Aural;Focus;pumped
I kinda zoned out mid-round 😶;Visual;Control;confused
Not feelin' my routine today 😕;Aural;Focus;pumped
Ugh, total brain fog on that hole...;Visual;Focus;pumped
I kinda zoned out mid-round 😶;Visual;Confidence;bored
I actually crushed it this time!;Aural;Confidence;confused
Wait, so was I supposed to breathe there?;Read/Write;Focus;pumped
Not feelin' my routine today 😕;Visual;Control;pumped
I actually crushed it this time!;Kinesthetic;Focus;shy
Pretty sure my confidence just leveled up 🔥;Read/Write;Focus;pumped
Wait, so was I supposed to breathe there?;Kinesthetic;Control;confused
Does this count as visualization?;Kinesthetic;Confidence;confused
Not feelin' my routine today 😕;Aural;Control;confused
Not feelin' my routine today 😕;Read/Write;Control;excited
Whoa, I just aced my focus drill!;Read/Write;Control;excited
Can I get a redo on that swing?;Kinesthetic;Confidence;shy
I actually crushed it this time!;Kinesthetic;Confidence;pumped
Hey coach, was that reset okay?;Visual;Control;confused
Does this count as visualization?;Aural;Control;confused
I kinda zoned out mid-round 😶;Aural;Confidence;bored
I kinda zoned out mid-round 😶;Aural;Confidence;pumped
Not feelin' my routine today 😕;Visual;Confidence;pumped
I kinda zoned out mid-round 😶;Kinesthetic;Control;bored
Does this count as visualization?;Visual;Confidence;excited
Pretty sure my confidence just leveled up 🔥;Read/Write;Focus;excited
Pretty sure my confidence just leveled up 🔥;Read/Write;Focus;shy
I actually crushed it this time!;Read/Write;Control;confused
I actually crushed it this time!;Visual;Focus;excited
Can I get a redo on that swing?;Read/Write;Confidence;pumped
Ugh, total brain fog on that hole...;Read/Write;Confidence;confused
Can I get a redo on that swing?;Visual;Control;confused
Can I get a redo on that swing?;Visual;Confidence;bored
Wait, so was I supposed to breathe there?;Visual;Confidence;shy
I actually crushed it this time!;Visual;Focus;confused
Wait, so was I supposed to breathe there?;Kinesthetic;Control;confused
Can I get a redo on that swing?;Read/Write;Confidence;pumped
I actually crushed it this time!;Aural;Confidence;shy
Does this count as visualization?;Kinesthetic;Focus;pumped
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Confidence;pumped
Does this count as visualization?;Visual;Confidence;shy
Wait, so was I supposed to breathe there?;Read/Write;Confidence;bored
Wait, so was I supposed to breathe there?;Kinesthetic;Focus;excited
I kinda zoned out mid-round 😶;Read/Write;Focus;bored
Not feelin' my routine today 😕;Visual;Focus;pumped
Not feelin' my routine today 😕;Visual;Confidence;shy
Hey coach, was that reset okay?;Aural;Confidence;excited
Hey coach, was that reset okay?;Aural;Control;pumped
Not feelin' my routine today 😕;Aural;Confidence;shy
Not feelin' my routine today 😕;Read/Write;Confidence;confused
I kinda zoned out mid-round 😶;Aural;Control;pumped
Does this count as visualization?;Read/Write;Confidence;shy
I actually crushed it this time!;Visual;Control;confused
Wait, so was I supposed to breathe there?;Aural;Focus;pumped
Ugh, total brain fog on that hole...;Aural;Confidence;excited
Wait, so was I supposed to breathe there?;Kinesthetic;Control;shy
I actually crushed it this time!;Aural;Confidence;bored
Does this count as visualization?;Kinesthetic;Confidence;bored
Hey coach, was that reset okay?;Visual;Confidence;confused
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Control;excited
I actually crushed it this time!;Aural;Control;shy
Wait, so was I supposed to breathe there?;Kinesthetic;Focus;shy
Wait, so was I supposed to breathe there?;Read/Write;Focus;pumped
Wait, so was I supposed to breathe there?;Kinesthetic;Focus;bored
Hey coach, was that reset okay?;Kinesthetic;Focus;confused
Can I get a redo on that swing?;Kinesthetic;Focus;excited
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;excited
Hey coach, was that reset okay?;Aural;Control;excited
Whoa, I just aced my focus drill!;Kinesthetic;Control;shy
Not feelin' my routine today 😕;Aural;Focus;pumped
Does this count as visualization?;Read/Write;Confidence;excited
Not feelin' my routine today 😕;Kinesthetic;Control;confused
Pretty sure my confidence just leveled up 🔥;Read/Write;Control;confused
Hey coach, was that reset okay?;Kinesthetic;Control;bored
I actually crushed it this time!;Kinesthetic;Focus;shy
I kinda zoned out mid-round 😶;Read/Write;Control;bored
I kinda zoned out mid-round 😶;Kinesthetic;Control;excited
I actually crushed it this time!;Visual;Focus;shy
Hey coach, was that reset okay?;Read/Write;Focus;shy
Wait, so was I supposed to breathe there?;Visual;Focus;shy
Can I get a redo on that swing?;Read/Write;Confidence;confused
Whoa, I just aced my focus drill!;Read/Write;Confidence;shy
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Focus;pumped
Hey coach, was that reset okay?;Aural;Confidence;pumped
Can I get a redo on that swing?;Aural;Focus;excited
Hey coach, was that reset okay?;Aural;Control;confused
Not feelin' my routine today 😕;Read/Write;Focus;shy
Wait, so was I supposed to breathe there?;Read/Write;Confidence;confused
Does this count as visualization?;Visual;Focus;bored
I kinda zoned out mid-round 😶;Kinesthetic;Control;bored
Not feelin' my routine today 😕;Kinesthetic;Confidence;bored
Wait, so was I supposed to breathe there?;Kinesthetic;Focus;shy
Wait, so was I supposed to breathe there?;Kinesthetic;Control;excited
Does this count as visualization?;Visual;Confidence;bored
I actually crushed it this time!;Visual;Focus;bored
Wait, so was I supposed to breathe there?;Visual;Control;bored
Hey coach, was that reset okay?;Kinesthetic;Control;bored
Wait, so was I supposed to breathe there?;Visual;Confidence;bored
Whoa, I just aced my focus drill!;Visual;Control;confused
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Focus;shy
Can I get a redo on that swing?;Aural;Control;shy
Hey coach, was that reset okay?;Aural;Confidence;confused
Whoa, I just aced my focus drill!;Read/Write;Confidence;pumped
Can I get a redo on that swing?;Visual;Control;shy
Can I get a redo on that swing?;Kinesthetic;Control;shy
Does this count as visualization?;Aural;Focus;shy
I actually crushed it this time!;Read/Write;Control;bored
Can I get a redo on that swing?;Visual;Focus;pumped
Ugh, total brain fog on that hole...;Visual;Focus;shy
I kinda zoned out mid-round 😶;Kinesthetic;Control;excited
Hey coach, was that reset okay?;Kinesthetic;Control;pumped
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;confused
Pretty sure my confidence just leveled up 🔥;Visual;Confidence;confused
Hey coach, was that reset okay?;Visual;Focus;shy
Does this count as visualization?;Kinesthetic;Control;shy
Hey coach, was that reset okay?;Read/Write;Control;bored
Pretty sure my confidence just leveled up 🔥;Read/Write;Confidence;pumped
Ugh, total brain fog on that hole...;Read/Write;Confidence;confused
Hey coach, was that reset okay?;Read/Write;Control;shy
Wait, so was I supposed to breathe there?;Read/Write;Focus;excited
Not feelin' my routine today 😕;Visual;Control;excited
Ugh, total brain fog on that hole...;Read/Write;Focus;shy
Whoa, I just aced my focus drill!;Read/Write;Focus;pumped
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;confused
Wait, so was I supposed to breathe there?;Visual;Confidence;bored
Hey coach, was that reset okay?;Aural;Control;excited
I actually crushed it this time!;Visual;Focus;pumped
I kinda zoned out mid-round 😶;Visual;Control;bored
Not feelin' my routine today 😕;Read/Write;Control;excited
Can I get a redo on that swing?;Read/Write;Focus;excited
Whoa, I just aced my focus drill!;Visual;Focus;bored
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Confidence;shy
Not feelin' my routine today 😕;Visual;Control;pumped
Whoa, I just aced my focus drill!;Kinesthetic;Confidence;shy
Ugh, total brain fog on that hole...;Read/Write;Focus;confused
Does this count as visualization?;Kinesthetic;Focus;shy
I kinda zoned out mid-round 😶;Read/Write;Control;shy
Hey coach, was that reset okay?;Visual;Confidence;pumped
Hey coach, was that reset okay?;Kinesthetic;Confidence;shy
I actually crushed it this time!;Aural;Confidence;confused
I kinda zoned out mid-round 😶;Visual;Control;bored
Hey coach, was that reset okay?;Read/Write;Control;pumped
Wait, so was I supposed to breathe there?;Visual;Control;excited
I kinda zoned out mid-round 😶;Visual;Focus;excited
I kinda zoned out mid-round 😶;Kinesthetic;Control;excited
Pretty sure my confidence just leveled up 🔥;Visual;Confidence;excited
Hey coach, was that reset okay?;Kinesthetic;Confidence;confused
I kinda zoned out mid-round 😶;Visual;Focus;shy
Ugh, total brain fog on that hole...;Read/Write;Confidence;excited
Can I get a redo on that swing?;Read/Write;Control;shy
Hey coach, was that reset okay?;Kinesthetic;Control;bored
I kinda zoned out mid-round 😶;Aural;Focus;excited
Wait, so was I supposed to breathe there?;Visual;Focus;bored
Can I get a redo on that swing?;Aural;Focus;excited
Hey coach, was that reset okay?;Kinesthetic;Control;pumped
Can I get a redo on that swing?;Aural;Focus;pumped
Pretty sure my confidence just leveled up 🔥;Read/Write;Control;shy
I actually crushed it this time!;Visual;Focus;confused
Does this count as visualization?;Read/Write;Control;confused
Whoa, I just aced my focus drill!;Aural;Confidence;shy
I actually crushed it this time!;Read/Write;Confidence;pumped
Can I get a redo on that swing?;Aural;Confidence;confused
Wait, so was I supposed to breathe there?;Visual;Focus;shy
