Phrase,Intent,Tags,Notes
Hit a 3-iron from 50 feet downhill.,ShotLog.Technical,"Club:3-iron,Distance:50 feet,Condition:downhill,Shape:slice,Outcome:stayed on the fringe,Hole:hole 5",Technical shot voice log for NLP training
Pushed a 9-iron into the stayed on the fringe.,ShotLog.Technical,"Club:9-iron,Distance:30 feet,Condition:with a tailwind,Shape:straight,Outcome:stayed on the fringe,Hole:hole 4",Technical shot voice log for NLP training
"Putter shot from 250 yards, , landed rolled off the back.",ShotLog.Technical,"Club:putter,Distance:250 yards,Condition:None,Shape:draw,Outcome:rolled off the back,Hole:hole 2",Technical shot voice log for NLP training
Pushed a 9-iron into the missed short.,ShotLog.Technical,"Club:9-iron,Distance:20 feet,Condition:off the tee,Shape:draw,Outcome:missed short,Hole:hole 15",Technical shot voice log for NLP training
Hit a 5-iron from 70 feet with a tailwind.,ShotLog.Technical,"Club:5-iron,Distance:70 feet,Condition:with a tailwind,Shape:hook,Outcome:missed left,Hole:hole 7",Technical shot voice log for NLP training
"Putting for 30 feet, missed on the fairway.",ShotLog.Technical,"Club:2-iron,Distance:30 feet,Condition:from the bunker,Shape:slice,Outcome:on the fairway,Hole:hole 14",Technical shot voice log for NLP training
"Used my sand wedge on hole 1, 80 yards, wet fairway.",ShotLog.Technical,"Club:sand wedge,Distance:80 yards,Condition:wet fairway,Shape:pull,Outcome:on the fairway,Hole:hole 1",Technical shot voice log for NLP training
Hit a 7-iron from 60 yards downhill.,ShotLog.Technical,"Club:7-iron,Distance:60 yards,Condition:downhill,Shape:fade,Outcome:missed short,Hole:hole 4",Technical shot voice log for NLP training
"Played a fade with my hybrid from 180 yards, ended up missed long.",ShotLog.Technical,"Club:hybrid,Distance:180 yards,Condition:uphill,Shape:fade,Outcome:missed long,Hole:hole 3",Technical shot voice log for NLP training
"4-iron shot from 280 yards, off the tee, landed landed on the green.",ShotLog.Technical,"Club:4-iron,Distance:280 yards,Condition:off the tee,Shape:slice,Outcome:landed on the green,Hole:hole 13",Technical shot voice log for NLP training
"Took a lob wedge from 220 yards from the bunker, result was landed on the green.",ShotLog.Technical,"Club:lob wedge,Distance:220 yards,Condition:from the bunker,Shape:None,Outcome:landed on the green,Hole:hole 12",Technical shot voice log for NLP training
"Putting for 75 feet, missed .",ShotLog.Technical,"Club:7-iron,Distance:75 feet,Condition:crosswind from the left,Shape:pull,Outcome:None,Hole:hole 5",Technical shot voice log for NLP training
"Used my 9-iron on hole 12, 80 feet, uphill.",ShotLog.Technical,"Club:9-iron,Distance:80 feet,Condition:uphill,Shape:straight,Outcome:missed short,Hole:hole 12",Technical shot voice log for NLP training
Pushed a 6-iron into the missed long.,ShotLog.Technical,"Club:6-iron,Distance:60 feet,Condition:tight lie,Shape:pull,Outcome:missed long,Hole:hole 14",Technical shot voice log for NLP training
"7-iron shot from 80 feet, wet fairway, landed on the fairway.",ShotLog.Technical,"Club:7-iron,Distance:80 feet,Condition:wet fairway,Shape:fade,Outcome:on the fairway,Hole:hole 2",Technical shot voice log for NLP training
Hit a 8-iron from 25 feet dry fairway.,ShotLog.Technical,"Club:8-iron,Distance:25 feet,Condition:dry fairway,Shape:hook,Outcome:missed right,Hole:hole 16",Technical shot voice log for NLP training
Hit a 5-wood from 130 yards.,ShotLog.Technical,"Club:5-wood,Distance:130 yards,Condition:None,Shape:draw,Outcome:in the bunker,Hole:hole 12",Technical shot voice log for NLP training
"6-iron shot from 150 yards, crosswind from the left, landed rolled off the back.",ShotLog.Technical,"Club:6-iron,Distance:150 yards,Condition:crosswind from the left,Shape:hook,Outcome:rolled off the back,Hole:hole 13",Technical shot voice log for NLP training
"Pitching wedge shot from 85 feet, from a bad lie, landed in the rough.",ShotLog.Technical,"Club:pitching wedge,Distance:85 feet,Condition:from a bad lie,Shape:straight,Outcome:in the rough,Hole:hole 18",Technical shot voice log for NLP training
"Took a 7-iron from 45 feet with a headwind, result was .",ShotLog.Technical,"Club:7-iron,Distance:45 feet,Condition:with a headwind,Shape:push,Outcome:None,Hole:hole 11",Technical shot voice log for NLP training
Hit a pitching wedge from 25 feet.,ShotLog.Technical,"Club:pitching wedge,Distance:25 feet,Condition:into the wind,Shape:None,Outcome:landed on the green,Hole:hole 12",Technical shot voice log for NLP training
Pushed a 5-wood into the landed on the green.,ShotLog.Technical,"Club:5-wood,Distance:190 yards,Condition:downhill,Shape:straight,Outcome:landed on the green,Hole:hole 2",Technical shot voice log for NLP training
"4-iron shot from 60 yards, from the bunker, landed on the fairway.",ShotLog.Technical,"Club:4-iron,Distance:60 yards,Condition:from the bunker,Shape:hook,Outcome:on the fairway,Hole:hole 9",Technical shot voice log for NLP training
"Sand wedge shot from 15 feet, from the bunker, landed hit a tree.",ShotLog.Technical,"Club:sand wedge,Distance:15 feet,Condition:from the bunker,Shape:draw,Outcome:hit a tree,Hole:hole 5",Technical shot voice log for NLP training
"Putting for 250 yards, missed missed long.",ShotLog.Technical,"Club:5-wood,Distance:250 yards,Condition:from the bunker,Shape:hook,Outcome:missed long,Hole:hole 2",Technical shot voice log for NLP training
"Played a hook with my 6-iron from 260 yards, ended up missed left.",ShotLog.Technical,"Club:6-iron,Distance:260 yards,Condition:from the bunker,Shape:hook,Outcome:missed left,Hole:hole 14",Technical shot voice log for NLP training
"Hit a hybrid from 180 yards into the wind, and it in the water.",ShotLog.Technical,"Club:hybrid,Distance:180 yards,Condition:into the wind,Shape:draw,Outcome:in the water,Hole:hole 5",Technical shot voice log for NLP training
Hit a 3-iron from 85 feet .,ShotLog.Technical,"Club:3-iron,Distance:85 feet,Condition:None,Shape:hook,Outcome:missed right,Hole:hole 11",Technical shot voice log for NLP training
"Hit a lob wedge from 290 yards uphill, and it hit a tree.",ShotLog.Technical,"Club:lob wedge,Distance:290 yards,Condition:uphill,Shape:straight,Outcome:hit a tree,Hole:hole 8",Technical shot voice log for NLP training
"4-iron shot from 90 feet, wet fairway, landed hit a tree.",ShotLog.Technical,"Club:4-iron,Distance:90 feet,Condition:wet fairway,Shape:hook,Outcome:hit a tree,Hole:hole 2",Technical shot voice log for NLP training
"Took a lob wedge from 210 yards into the wind, result was stayed on the fringe.",ShotLog.Technical,"Club:lob wedge,Distance:210 yards,Condition:into the wind,Shape:hook,Outcome:stayed on the fringe,Hole:hole 3",Technical shot voice log for NLP training
"3-iron shot from 130 yards, uphill, landed hit a tree.",ShotLog.Technical,"Club:3-iron,Distance:130 yards,Condition:uphill,Shape:pull,Outcome:hit a tree,Hole:hole 10",Technical shot voice log for NLP training
Hit a 8-iron from 280 yards downhill.,ShotLog.Technical,"Club:8-iron,Distance:280 yards,Condition:downhill,Shape:fade,Outcome:in the rough,Hole:hole 8",Technical shot voice log for NLP training
"Took a lob wedge from 50 feet off the tee, result was stayed on the fringe.",ShotLog.Technical,"Club:lob wedge,Distance:50 feet,Condition:off the tee,Shape:draw,Outcome:stayed on the fringe,Hole:hole 16",Technical shot voice log for NLP training
"Played a pull with my 2-iron from 60 feet, ended up in the bunker.",ShotLog.Technical,"Club:2-iron,Distance:60 feet,Condition:tight lie,Shape:pull,Outcome:in the bunker,Hole:hole 3",Technical shot voice log for NLP training
"Hit a lob wedge from 280 yards, shot a .",ShotLog.Technical,"Club:lob wedge,Distance:280 yards,Condition:downhill,Shape:None,Outcome:on the fairway,Hole:hole 3",Technical shot voice log for NLP training
"Hit a 5-wood from 150 yards with a headwind, and it missed right.",ShotLog.Technical,"Club:5-wood,Distance:150 yards,Condition:with a headwind,Shape:push,Outcome:missed right,Hole:hole 15",Technical shot voice log for NLP training
"Played a with my 7-iron from 130 yards, ended up stayed on the fringe.",ShotLog.Technical,"Club:7-iron,Distance:130 yards,Condition:None,Shape:None,Outcome:stayed on the fringe,Hole:hole 6",Technical shot voice log for NLP training
Hit a 8-iron from 55 feet.,ShotLog.Technical,"Club:8-iron,Distance:55 feet,Condition:wet fairway,Shape:hook,Outcome:missed right,Hole:hole 8",Technical shot voice log for NLP training
Hit a lob wedge from 55 feet downhill.,ShotLog.Technical,"Club:lob wedge,Distance:55 feet,Condition:downhill,Shape:fade,Outcome:on the fairway,Hole:hole 13",Technical shot voice log for NLP training
Pushed a 2-iron into the in the rough.,ShotLog.Technical,"Club:2-iron,Distance:190 yards,Condition:uphill,Shape:slice,Outcome:in the rough,Hole:hole 1",Technical shot voice log for NLP training
"Played a with my 4-iron from 50 feet, ended up in the rough.",ShotLog.Technical,"Club:4-iron,Distance:50 feet,Condition:off the tee,Shape:None,Outcome:in the rough,Hole:hole 2",Technical shot voice log for NLP training
"Hit a putter from 100 yards from the bunker, and it hit a tree.",ShotLog.Technical,"Club:putter,Distance:100 yards,Condition:from the bunker,Shape:fade,Outcome:hit a tree,Hole:hole 2",Technical shot voice log for NLP training
"Hit a 3-wood from 110 yards, shot a fade.",ShotLog.Technical,"Club:3-wood,Distance:110 yards,Condition:tight lie,Shape:fade,Outcome:landed on the green,Hole:hole 13",Technical shot voice log for NLP training
Hit a 8-iron from 80 yards.,ShotLog.Technical,"Club:8-iron,Distance:80 yards,Condition:uphill,Shape:None,Outcome:rolled off the back,Hole:hole 18",Technical shot voice log for NLP training
"Putting for 25 feet, missed missed right.",ShotLog.Technical,"Club:5-iron,Distance:25 feet,Condition:downhill,Shape:draw,Outcome:missed right,Hole:hole 10",Technical shot voice log for NLP training
Hit a 9-iron from 25 feet off a downhill slope.,ShotLog.Technical,"Club:9-iron,Distance:25 feet,Condition:off a downhill slope,Shape:push,Outcome:missed long,Hole:hole 7",Technical shot voice log for NLP training
"Took a 9-iron from 130 yards with a headwind, result was on the fairway.",ShotLog.Technical,"Club:9-iron,Distance:130 yards,Condition:with a headwind,Shape:None,Outcome:on the fairway,Hole:hole 5",Technical shot voice log for NLP training
"Took a driver from 60 yards crosswind from the left, result was missed long.",ShotLog.Technical,"Club:driver,Distance:60 yards,Condition:crosswind from the left,Shape:straight,Outcome:missed long,Hole:hole 7",Technical shot voice log for NLP training
Hit a 5-wood from 220 yards.,ShotLog.Technical,"Club:5-wood,Distance:220 yards,Condition:wet fairway,Shape:None,Outcome:in the water,Hole:hole 8",Technical shot voice log for NLP training
Hit a 4-iron from 150 yards.,ShotLog.Technical,"Club:4-iron,Distance:150 yards,Condition:from the rough,Shape:fade,Outcome:stayed on the fringe,Hole:hole 11",Technical shot voice log for NLP training
"Putting for 10 feet, missed stayed on the fringe.",ShotLog.Technical,"Club:driver,Distance:10 feet,Condition:from the bunker,Shape:slice,Outcome:stayed on the fringe,Hole:hole 9",Technical shot voice log for NLP training
"6-iron shot from 90 feet, tight lie, landed missed left.",ShotLog.Technical,"Club:6-iron,Distance:90 feet,Condition:tight lie,Shape:push,Outcome:missed left,Hole:hole 15",Technical shot voice log for NLP training
"8-iron shot from 210 yards, from the bunker, landed .",ShotLog.Technical,"Club:8-iron,Distance:210 yards,Condition:from the bunker,Shape:draw,Outcome:None,Hole:hole 11",Technical shot voice log for NLP training
"Putting for 60 yards, missed stayed on the fringe.",ShotLog.Technical,"Club:lob wedge,Distance:60 yards,Condition:off the tee,Shape:push,Outcome:stayed on the fringe,Hole:hole 12",Technical shot voice log for NLP training
"Hit a 5-iron from 100 feet, shot a .",ShotLog.Technical,"Club:5-iron,Distance:100 feet,Condition:crosswind from the left,Shape:None,Outcome:hit a tree,Hole:hole 7",Technical shot voice log for NLP training
Hit a sand wedge from 220 yards.,ShotLog.Technical,"Club:sand wedge,Distance:220 yards,Condition:tight lie,Shape:straight,Outcome:missed long,Hole:hole 16",Technical shot voice log for NLP training
"Lob wedge shot from 10 feet, from the bunker, landed landed on the green.",ShotLog.Technical,"Club:lob wedge,Distance:10 feet,Condition:from the bunker,Shape:fade,Outcome:landed on the green,Hole:hole 12",Technical shot voice log for NLP training
Hit a driver from 200 yards.,ShotLog.Technical,"Club:driver,Distance:200 yards,Condition:tight lie,Shape:hook,Outcome:stayed on the fringe,Hole:hole 2",Technical shot voice log for NLP training
"Used my 4-iron on hole 5, 55 feet, from the bunker.",ShotLog.Technical,"Club:4-iron,Distance:55 feet,Condition:from the bunker,Shape:straight,Outcome:in the rough,Hole:hole 5",Technical shot voice log for NLP training
"Hit a lob wedge from 210 yards from the rough, and it stayed on the fringe.",ShotLog.Technical,"Club:lob wedge,Distance:210 yards,Condition:from the rough,Shape:None,Outcome:stayed on the fringe,Hole:hole 7",Technical shot voice log for NLP training
"Putting for 300 yards, missed .",ShotLog.Technical,"Club:pitching wedge,Distance:300 yards,Condition:from the bunker,Shape:push,Outcome:None,Hole:hole 9",Technical shot voice log for NLP training
"Took a 9-iron from 50 yards from the bunker, result was landed on the green.",ShotLog.Technical,"Club:9-iron,Distance:50 yards,Condition:from the bunker,Shape:draw,Outcome:landed on the green,Hole:hole 14",Technical shot voice log for NLP training
Pushed a lob wedge into the rolled off the back.,ShotLog.Technical,"Club:lob wedge,Distance:70 feet,Condition:with a tailwind,Shape:push,Outcome:rolled off the back,Hole:hole 6",Technical shot voice log for NLP training
"Played a hook with my lob wedge from 50 yards, ended up in the water.",ShotLog.Technical,"Club:lob wedge,Distance:50 yards,Condition:into the wind,Shape:hook,Outcome:in the water,Hole:hole 15",Technical shot voice log for NLP training
Pushed a sand wedge into the on the fairway.,ShotLog.Technical,"Club:sand wedge,Distance:10 feet,Condition:with a headwind,Shape:slice,Outcome:on the fairway,Hole:hole 12",Technical shot voice log for NLP training
"Putting for 180 yards, missed missed right.",ShotLog.Technical,"Club:sand wedge,Distance:180 yards,Condition:dry fairway,Shape:straight,Outcome:missed right,Hole:hole 5",Technical shot voice log for NLP training
Hit a sand wedge from 160 yards with a headwind.,ShotLog.Technical,"Club:sand wedge,Distance:160 yards,Condition:with a headwind,Shape:None,Outcome:landed on the green,Hole:hole 8",Technical shot voice log for NLP training
"Hit a lob wedge from 210 yards wet fairway, and it in the rough.",ShotLog.Technical,"Club:lob wedge,Distance:210 yards,Condition:wet fairway,Shape:fade,Outcome:in the rough,Hole:hole 4",Technical shot voice log for NLP training
"Hit a 5-iron from 150 yards , and it in the bunker.",ShotLog.Technical,"Club:5-iron,Distance:150 yards,Condition:None,Shape:push,Outcome:in the bunker,Hole:hole 17",Technical shot voice log for NLP training
Pushed a 7-iron into the rolled off the back.,ShotLog.Technical,"Club:7-iron,Distance:50 yards,Condition:tight lie,Shape:draw,Outcome:rolled off the back,Hole:hole 2",Technical shot voice log for NLP training
"Took a 9-iron from 75 feet crosswind from the left, result was stayed on the fringe.",ShotLog.Technical,"Club:9-iron,Distance:75 feet,Condition:crosswind from the left,Shape:draw,Outcome:stayed on the fringe,Hole:hole 18",Technical shot voice log for NLP training
"Used my 5-wood on hole 18, 150 yards, .",ShotLog.Technical,"Club:5-wood,Distance:150 yards,Condition:None,Shape:draw,Outcome:in the water,Hole:hole 18",Technical shot voice log for NLP training
"Hybrid shot from 240 yards, off a downhill slope, landed .",ShotLog.Technical,"Club:hybrid,Distance:240 yards,Condition:off a downhill slope,Shape:draw,Outcome:None,Hole:hole 14",Technical shot voice log for NLP training
"Played a push with my 9-iron from 290 yards, ended up hit a tree.",ShotLog.Technical,"Club:9-iron,Distance:290 yards,Condition:crosswind from the left,Shape:push,Outcome:hit a tree,Hole:hole 7",Technical shot voice log for NLP training
Hit a 5-wood from 80 feet.,ShotLog.Technical,"Club:5-wood,Distance:80 feet,Condition:uphill,Shape:slice,Outcome:in the bunker,Hole:hole 14",Technical shot voice log for NLP training
"Putting for 230 yards, missed rolled off the back.",ShotLog.Technical,"Club:lob wedge,Distance:230 yards,Condition:off the tee,Shape:straight,Outcome:rolled off the back,Hole:hole 13",Technical shot voice log for NLP training
"Hybrid shot from 100 yards, from a bad lie, landed in the water.",ShotLog.Technical,"Club:hybrid,Distance:100 yards,Condition:from a bad lie,Shape:None,Outcome:in the water,Hole:hole 7",Technical shot voice log for NLP training
Hit a 5-wood from 5 feet.,ShotLog.Technical,"Club:5-wood,Distance:5 feet,Condition:uphill,Shape:None,Outcome:in the water,Hole:hole 6",Technical shot voice log for NLP training
Pushed a sand wedge into the in the water.,ShotLog.Technical,"Club:sand wedge,Distance:20 feet,Condition:wet fairway,Shape:push,Outcome:in the water,Hole:hole 17",Technical shot voice log for NLP training
"Took a 6-iron from 280 yards uphill, result was in the bunker.",ShotLog.Technical,"Club:6-iron,Distance:280 yards,Condition:uphill,Shape:draw,Outcome:in the bunker,Hole:hole 14",Technical shot voice log for NLP training
"Played a straight with my lob wedge from 50 yards, ended up in the water.",ShotLog.Technical,"Club:lob wedge,Distance:50 yards,Condition:None,Shape:straight,Outcome:in the water,Hole:hole 8",Technical shot voice log for NLP training
"Took a 5-iron from 260 yards tight lie, result was hit a tree.",ShotLog.Technical,"Club:5-iron,Distance:260 yards,Condition:tight lie,Shape:straight,Outcome:hit a tree,Hole:hole 7",Technical shot voice log for NLP training
"Putting for 5 feet, missed rolled off the back.",ShotLog.Technical,"Club:3-iron,Distance:5 feet,Condition:off the tee,Shape:slice,Outcome:rolled off the back,Hole:hole 15",Technical shot voice log for NLP training
Hit a pitching wedge from 80 feet downhill.,ShotLog.Technical,"Club:pitching wedge,Distance:80 feet,Condition:downhill,Shape:push,Outcome:missed long,Hole:hole 9",Technical shot voice log for NLP training
"Putting for 30 feet, missed on the fairway.",ShotLog.Technical,"Club:driver,Distance:30 feet,Condition:off a downhill slope,Shape:None,Outcome:on the fairway,Hole:hole 17",Technical shot voice log for NLP training
Hit a 3-iron from 20 feet dry fairway.,ShotLog.Technical,"Club:3-iron,Distance:20 feet,Condition:dry fairway,Shape:draw,Outcome:None,Hole:hole 1",Technical shot voice log for NLP training
Hit a 3-iron from 160 yards.,ShotLog.Technical,"Club:3-iron,Distance:160 yards,Condition:crosswind from the left,Shape:straight,Outcome:missed left,Hole:hole 14",Technical shot voice log for NLP training
"Pitching wedge shot from 290 yards, off a downhill slope, landed missed short.",ShotLog.Technical,"Club:pitching wedge,Distance:290 yards,Condition:off a downhill slope,Shape:pull,Outcome:missed short,Hole:hole 13",Technical shot voice log for NLP training
"Putting for 60 yards, missed missed right.",ShotLog.Technical,"Club:hybrid,Distance:60 yards,Condition:from a bad lie,Shape:hook,Outcome:missed right,Hole:hole 2",Technical shot voice log for NLP training
"Hit a 5-iron from 10 feet off the tee, and it in the water.",ShotLog.Technical,"Club:5-iron,Distance:10 feet,Condition:off the tee,Shape:push,Outcome:in the water,Hole:hole 4",Technical shot voice log for NLP training
Hit a 7-iron from 120 yards wet fairway.,ShotLog.Technical,"Club:7-iron,Distance:120 yards,Condition:wet fairway,Shape:fade,Outcome:stayed on the fringe,Hole:hole 7",Technical shot voice log for NLP training
Hit a putter from 260 yards .,ShotLog.Technical,"Club:putter,Distance:260 yards,Condition:None,Shape:slice,Outcome:on the fairway,Hole:hole 18",Technical shot voice log for NLP training
"Putting for 230 yards, missed missed short.",ShotLog.Technical,"Club:4-iron,Distance:230 yards,Condition:from the bunker,Shape:hook,Outcome:missed short,Hole:hole 18",Technical shot voice log for NLP training
Hit a hybrid from 290 yards uphill.,ShotLog.Technical,"Club:hybrid,Distance:290 yards,Condition:uphill,Shape:push,Outcome:missed left,Hole:hole 9",Technical shot voice log for NLP training
Pushed a 5-wood into the on the fairway.,ShotLog.Technical,"Club:5-wood,Distance:85 feet,Condition:downhill,Shape:straight,Outcome:on the fairway,Hole:hole 10",Technical shot voice log for NLP training
"Putting for 270 yards, missed missed left.",ShotLog.Technical,"Club:5-iron,Distance:270 yards,Condition:tight lie,Shape:None,Outcome:missed left,Hole:hole 8",Technical shot voice log for NLP training
"Used my hybrid on hole 2, 240 yards, from a bad lie.",ShotLog.Technical,"Club:hybrid,Distance:240 yards,Condition:from a bad lie,Shape:slice,Outcome:on the fairway,Hole:hole 2",Technical shot voice log for NLP training
Hit a putter from 150 yards crosswind from the left.,ShotLog.Technical,"Club:putter,Distance:150 yards,Condition:crosswind from the left,Shape:None,Outcome:rolled off the back,Hole:hole 16",Technical shot voice log for NLP training
"5-wood shot from 190 yards, off the tee, landed missed right.",ShotLog.Technical,"Club:5-wood,Distance:190 yards,Condition:off the tee,Shape:push,Outcome:missed right,Hole:hole 9",Technical shot voice log for NLP training
"Took a 2-iron from 70 yards dry fairway, result was .",ShotLog.Technical,"Club:2-iron,Distance:70 yards,Condition:dry fairway,Shape:None,Outcome:None,Hole:hole 8",Technical shot voice log for NLP training
Pushed a putter into the in the water.,ShotLog.Technical,"Club:putter,Distance:160 yards,Condition:off a downhill slope,Shape:straight,Outcome:in the water,Hole:hole 1",Technical shot voice log for NLP training
"Played a pull with my lob wedge from 40 feet, ended up missed left.",ShotLog.Technical,"Club:lob wedge,Distance:40 feet,Condition:from a bad lie,Shape:pull,Outcome:missed left,Hole:hole 10",Technical shot voice log for NLP training
Pushed a 5-iron into the landed on the green.,ShotLog.Technical,"Club:5-iron,Distance:260 yards,Condition:crosswind from the left,Shape:None,Outcome:landed on the green,Hole:hole 8",Technical shot voice log for NLP training
Hit a 9-iron from 200 yards.,ShotLog.Technical,"Club:9-iron,Distance:200 yards,Condition:from the rough,Shape:None,Outcome:hit a tree,Hole:hole 8",Technical shot voice log for NLP training
Pushed a 9-iron into the in the water.,ShotLog.Technical,"Club:9-iron,Distance:250 yards,Condition:uphill,Shape:slice,Outcome:in the water,Hole:hole 7",Technical shot voice log for NLP training
Hit a hybrid from 100 feet.,ShotLog.Technical,"Club:hybrid,Distance:100 feet,Condition:crosswind from the left,Shape:pull,Outcome:in the rough,Hole:hole 3",Technical shot voice log for NLP training
"Used my 5-iron on hole 3, 35 feet, off the tee.",ShotLog.Technical,"Club:5-iron,Distance:35 feet,Condition:off the tee,Shape:pull,Outcome:rolled off the back,Hole:hole 3",Technical shot voice log for NLP training
Hit a sand wedge from 220 yards.,ShotLog.Technical,"Club:sand wedge,Distance:220 yards,Condition:downhill,Shape:straight,Outcome:missed long,Hole:hole 17",Technical shot voice log for NLP training
"8-iron shot from 30 feet, wet fairway, landed stayed on the fringe.",ShotLog.Technical,"Club:8-iron,Distance:30 feet,Condition:wet fairway,Shape:None,Outcome:stayed on the fringe,Hole:hole 9",Technical shot voice log for NLP training
"Used my 3-iron on hole 2, 160 yards, uphill.",ShotLog.Technical,"Club:3-iron,Distance:160 yards,Condition:uphill,Shape:pull,Outcome:landed on the green,Hole:hole 2",Technical shot voice log for NLP training
Pushed a 2-iron into the in the bunker.,ShotLog.Technical,"Club:2-iron,Distance:25 feet,Condition:from the bunker,Shape:pull,Outcome:in the bunker,Hole:hole 8",Technical shot voice log for NLP training
"Took a driver from 65 feet downhill, result was in the bunker.",ShotLog.Technical,"Club:driver,Distance:65 feet,Condition:downhill,Shape:draw,Outcome:in the bunker,Hole:hole 18",Technical shot voice log for NLP training
"Used my 8-iron on hole 7, 70 feet, tight lie.",ShotLog.Technical,"Club:8-iron,Distance:70 feet,Condition:tight lie,Shape:fade,Outcome:in the bunker,Hole:hole 7",Technical shot voice log for NLP training
"Hit a pitching wedge from 50 yards crosswind from the left, and it missed left.",ShotLog.Technical,"Club:pitching wedge,Distance:50 yards,Condition:crosswind from the left,Shape:straight,Outcome:missed left,Hole:hole 12",Technical shot voice log for NLP training
"Putting for 80 feet, missed on the fairway.",ShotLog.Technical,"Club:4-iron,Distance:80 feet,Condition:dry fairway,Shape:fade,Outcome:on the fairway,Hole:hole 17",Technical shot voice log for NLP training
Hit a pitching wedge from 230 yards.,ShotLog.Technical,"Club:pitching wedge,Distance:230 yards,Condition:None,Shape:draw,Outcome:missed right,Hole:hole 11",Technical shot voice log for NLP training
"Played a with my driver from 110 yards, ended up missed short.",ShotLog.Technical,"Club:driver,Distance:110 yards,Condition:from a bad lie,Shape:None,Outcome:missed short,Hole:hole 18",Technical shot voice log for NLP training
"Putting for 120 yards, missed missed left.",ShotLog.Technical,"Club:5-iron,Distance:120 yards,Condition:tight lie,Shape:draw,Outcome:missed left,Hole:hole 8",Technical shot voice log for NLP training
"Putting for 290 yards, missed missed left.",ShotLog.Technical,"Club:7-iron,Distance:290 yards,Condition:with a headwind,Shape:pull,Outcome:missed left,Hole:hole 10",Technical shot voice log for NLP training
"Used my pitching wedge on hole 3, 200 yards, into the wind.",ShotLog.Technical,"Club:pitching wedge,Distance:200 yards,Condition:into the wind,Shape:slice,Outcome:missed left,Hole:hole 3",Technical shot voice log for NLP training
"Putting for 230 yards, missed hit a tree.",ShotLog.Technical,"Club:driver,Distance:230 yards,Condition:from the rough,Shape:pull,Outcome:hit a tree,Hole:hole 4",Technical shot voice log for NLP training
"Putting for 260 yards, missed stayed on the fringe.",ShotLog.Technical,"Club:2-iron,Distance:260 yards,Condition:with a headwind,Shape:None,Outcome:stayed on the fringe,Hole:hole 16",Technical shot voice log for NLP training
"Hit a 9-iron from 180 yards crosswind from the left, and it rolled off the back.",ShotLog.Technical,"Club:9-iron,Distance:180 yards,Condition:crosswind from the left,Shape:slice,Outcome:rolled off the back,Hole:hole 1",Technical shot voice log for NLP training
"Hit a 8-iron from 30 feet uphill, and it in the bunker.",ShotLog.Technical,"Club:8-iron,Distance:30 feet,Condition:uphill,Shape:push,Outcome:in the bunker,Hole:hole 3",Technical shot voice log for NLP training
Pushed a 9-iron into the hit a tree.,ShotLog.Technical,"Club:9-iron,Distance:100 yards,Condition:downhill,Shape:draw,Outcome:hit a tree,Hole:hole 18",Technical shot voice log for NLP training
"Hit a 3-wood from 100 yards, shot a push.",ShotLog.Technical,"Club:3-wood,Distance:100 yards,Condition:from the bunker,Shape:push,Outcome:missed left,Hole:hole 18",Technical shot voice log for NLP training
"Putting for 75 feet, missed in the water.",ShotLog.Technical,"Club:8-iron,Distance:75 feet,Condition:off a downhill slope,Shape:push,Outcome:in the water,Hole:hole 13",Technical shot voice log for NLP training
"Hit a 3-iron from 50 feet, shot a draw.",ShotLog.Technical,"Club:3-iron,Distance:50 feet,Condition:into the wind,Shape:draw,Outcome:stayed on the fringe,Hole:hole 10",Technical shot voice log for NLP training
"Hit a 5-wood from 150 yards from the bunker, and it on the fairway.",ShotLog.Technical,"Club:5-wood,Distance:150 yards,Condition:from the bunker,Shape:hook,Outcome:on the fairway,Hole:hole 2",Technical shot voice log for NLP training
"Putting for 190 yards, missed missed right.",ShotLog.Technical,"Club:9-iron,Distance:190 yards,Condition:uphill,Shape:pull,Outcome:missed right,Hole:hole 5",Technical shot voice log for NLP training
"2-iron shot from 50 yards, dry fairway, landed stayed on the fringe.",ShotLog.Technical,"Club:2-iron,Distance:50 yards,Condition:dry fairway,Shape:draw,Outcome:stayed on the fringe,Hole:hole 6",Technical shot voice log for NLP training
"Took a 4-iron from 20 feet tight lie, result was in the bunker.",ShotLog.Technical,"Club:4-iron,Distance:20 feet,Condition:tight lie,Shape:fade,Outcome:in the bunker,Hole:hole 15",Technical shot voice log for NLP training
Hit a sand wedge from 50 feet tight lie.,ShotLog.Technical,"Club:sand wedge,Distance:50 feet,Condition:tight lie,Shape:None,Outcome:hit a tree,Hole:hole 8",Technical shot voice log for NLP training
Hit a pitching wedge from 260 yards.,ShotLog.Technical,"Club:pitching wedge,Distance:260 yards,Condition:with a tailwind,Shape:push,Outcome:landed on the green,Hole:hole 7",Technical shot voice log for NLP training
"Hit a 5-wood from 20 feet downhill, and it stayed on the fringe.",ShotLog.Technical,"Club:5-wood,Distance:20 feet,Condition:downhill,Shape:fade,Outcome:stayed on the fringe,Hole:hole 17",Technical shot voice log for NLP training
"Used my 3-wood on hole 11, 110 yards, tight lie.",ShotLog.Technical,"Club:3-wood,Distance:110 yards,Condition:tight lie,Shape:push,Outcome:stayed on the fringe,Hole:hole 11",Technical shot voice log for NLP training
"Took a hybrid from 270 yards into the wind, result was in the water.",ShotLog.Technical,"Club:hybrid,Distance:270 yards,Condition:into the wind,Shape:hook,Outcome:in the water,Hole:hole 8",Technical shot voice log for NLP training
